"@115911 how much for the iPhone x with the jump? I’m not spending $200 plus on a phone 😂 sry | @116686 We'd love to provide you all the details, please DM for info! *JohnWard"
"@115911 @TMobileHelp  you guys lost my iPhone x and now your support guys are clueless in helping me. Great great service #wow #messedup | @476213 Can you please follow this link for me so I can dive in and take a look?

https://t.co/TY8nxOeS5w *JeanieGallagher"
@115911 @TMobileHelp  you guys lost my iPhone x and now your support guys are clueless in helping me. Great great service #wow #messedup | @476213 Oh No! We definitely want to help get this all sorted out! Join me in a DM to get started! :) *JeanieGallagher
"The new #iPhoneX is lovely. I look forward to being able to activate it someday. @applesupport @115714 | @476247 Hi there, you try doing the activation online via https://t.co/y5KU4cSsLx ? Here's a link to help you : https://t.co/ub72NqopZn -KK"
Beach Full moon 🌕 with my iPhone X @TmobileHelp thanks debi And joy 😂😁First scope 😆🎉 https://t.co/ckvi9xfaKB | @424489 What a sight! &lt;3 Enjoy your new phone and have a great weekend! *KrystnYogi
@115817 come on @UPSHelp it's almost 4 PM PST and my #iPhoneX still hasn't been delivered. It's out for delivery since 9 AM. @TMobileHelp | @127980 I want to make sure your enjoying that epic device ASAP!  DM me: https://t.co/tdwt367vMq *NevinBruce
"@TMobileHelp will the iPhone x be available in stores? Is there a way to check availability online | @476381 Yes and no, please DM for details! https://t.co/I6eWC2B8S0 *JohnWard"
@TMobileHelp hi! I have a question about an “upgrade fee” for my new iPhone order. Can you DM me? Thanks! | @476705 Hey there! I'm happy to answer any questions you might have. Please shoot us a DM so we can help! *KelseyW
@TMobileHelp can i get an iPhone x in stores ? | @476707 Hey Maria!! Send me a DM here and we can chat: https://t.co/QIHNBDHoV8. =D *LaurenWalker
Thank you @115714 ❤️ #iPhoneX https://t.co/N5c70gM3BN | @476869 You are most welcome! Thank you for choosing Sprint. -JC
"2 properly cared for, expensive, and malfunctioning @115858 iPhones. @115911 refuses to address our issue @52765. What can we do? https://t.co/JlKUa143Fn | @205484 I've got your DM, and will reply shortly. *ZachRicketts"
"While everyone getting their iphone x’s im over her waiting on mine to ship... thanks @115911 https://t.co/T5URy0Cuqh | @477036 It will be worth the wait, I promise! We’re shipping them as fast as we’re getting them from Apple! :) *SavannaGallagher"
"@sprintcare I am still having trouble activating my iPhone X despite repeated calls to Sprint and Apple. | @477196 This is really concerning to us. Please, send us a DM with more details of this issue, so we can be able to help. -DP https://t.co/rMApsV8PQY"
Love my phone! Thanks for getting it here on time @115714 @115817 #iPhoneX | @477198 Glad to hear that you got your device on time. Hope you enjoy it and thanks for choosing Sprint! -KC
Hey @115714. Are you only eligible for a deal on the iPhone X if you add a line/ new service? That doesn’t seem fair 🤔 | @477205 Sprint customers can save $350 and get the new iPhone X (64GB) for $22.22 per month for 18 months with eligible trade-in. -DS
Hey @115714. Are you only eligible for a deal on the iPhone X if you add a line/ new service? That doesn’t seem fair 🤔 | @477205 The $350 off iPhone X promotion does not require you to add a line it requires you to trade in an eligible device. -DS
"@TMobileHelp just got the new iPhone and my data is the only thing that is not working. Do i just have to wait? | @439510 Hi Anthony, definitely want to help...Send me a DM so we can get your data working!!!! *SusieAdams"
"@115911 Ported my number from AT&amp;T today but still hasn’t completed. How much longer until I can enjoy the iPhone X on the best network? | @477330 Hi Chris! If the port isn't completed yet, it will be soon! We're happy to double check for you though - DM us :) *TerriL"
@115714 played with my emotions. Said I could get $350 off the new iPhone X but the fine print said I’m keeping my iPhone 7. | @477362 We would love to look into this for you. Please send us a DM lets investigate. -CW
"@115911 #GalaxyS8, #GalaxyNote8, or #iPhoneX? | @118850 So many options! All are fantastic! DM me and lets help find the perfect one for YOU! https://t.co/hzjqSun5Lf *TreBrewbaker"
"If I’m lucky my #iPhone7Plus has a 2-3 hr battery life 🙄 

@115913 @116333 @115858 @AppleSupport @TMobileHelp @115911 @52765 | @205484 @115913 I'm on the case. Please join me back in DM, and I'll get you taken care of. *ZachRicketts"
"@TMobileHelp Hey, Why is everyone getting their iPhone X today and I preordered like a good boy and I get nothing 😞 | @477653 I can feel your excitement here about the iPhone X! DM me https://t.co/tCo20jmsK2 and I'll take a look at your order status. *JelisaAbregano"
Just got the text from @115911 saying I’m eligible to upgrade to #iPhoneX.  Now who has a grand to give me so I can buy it? #PoFolks | @477655 Well I don't have a grand 😉... but we always have options to discuss! PM us for specifics! #TheStruggleIsReal *StephanieC
"@115714 I’m trying to activate my new iphoneX, but the chat on your websites gone, and have been waiting on hold for 15 minutes! | @478000 Thank you for reaching out to us. Are you interested in doing a swap or are you trying to activate a new line? -C.H"
"Thank you @115714 for having it in stock for preorder &amp; @115817 for the on-time delivery. It's LIVE and it's Lit! 🔥 
#iPhoneX https://t.co/EcA60zErHX | @478003 you r most welcome, do enjoy d rest of your evening. -ES"
"iPhone X pre order is Friday , where’s the info 🙃 @sprintcare | @478155 You got questions and we've got answers. Send us a DM lets chat some more. -CW"
"@TMobileHelp UPS didn’t even try to deliver my order today; is there an extra iPhone X that I can pick up in a retail store instead? | @478199 No phone yet? Oh man!! Shoot me a DM and let's figure out what's going on!! 
https://t.co/KQh917xfZf *SurDuaneMcGurn"
"@sprintcare Sorry for being pissy last week. Ordered the following morning, received my #iPhoneX today and I love it. 😱🔮👍 | @478212 Thanks for letting us know! We hope you enjoy it! - DA"
UPS needs to hurry up and delivery my #iphoneX. I'm still mad at @115714 for charging me for two 😒 | @478213 This is very concerning! Were you charged twice for the device when you made the order? Send us a DM so we can further assist. -HS
"@TMobileHelp Hello, My new iphone X isn't getting connected with LTE connection | @478341 Hey Art! I got your back! 
DM me! *BialyQuinonez"
"@115714 will not unlock my iPhone X for international use before being active for 50 days since its on lease. Even though I’m a long time customer! @115911 @115913 do you do the same? If not, then I’m switching to you tomorrow! | @478343 @115913 Click https://t.co/Mww69Rzn7a to send me a message so we can chat about unlock options. *AshleyNelson"
"S/O to @115911 for cancelling my iPhone X order for no reason at all!!! I am now 100% sure I'm switching service providers. | @144099 That's not the experience we want you to have. I see we were working in DM, send us a reply and we'll get this sorted out. *MelJ"
"so idk why but I just ordered the iPhone X space grey 200 something gb, thanks @115714 and @115858 | @194822 Oh no! Was the order a mistake? -LK"
Loving my new iPhone8 Plus! Yay!!! Got rid of the Note8. #LifesEasierOniPhone for me. Thank you @115911 @TMobileHelp 👍🏽 | @412334 Team iPhone for the win! Gotta love that award-winning customer service! https://t.co/JIoWLxpmBA *EddieGough
"@TMobileHelp how do I activate my new iPhone x? Got it set up just can’t make calls | @399923 Let's get that brand new iPhone X running!! Shoot me a DM

https://t.co/KQh917xfZf *SurDuaneMcGurn"
"@115911 BRAVO! I sign in using my fingerprint on your Android app and then it immediately asks for my password. Great job folks! | @383642 Hey Cole, let's make sure your phone is working flawlessly, send us a DM and we can assist :) *ChanneyT"
@sprintcare 3 hours and no activation. iPhone X says zip and pin incorrect but rep agrees it’s ok. Thanks @115714 for a great Friday night! | @478975 That's not the type of experience we want you to have! Please send us a DM to further assist you. - DB https://t.co/rMApsV8PQY
@115911 @115913 any 411 on #iphonex preorder &amp; avail date? @115858 | @246690 @115913 Hey! Pre-orders start on 10/27/17! Stay tuned for more details. *AlissaFast
@TMobileHelp What is the best way to activate a new iphoneX? | @479662 Send me a DM and I'll get you up and running with that awesome new super phone! *SavannaGallagher
"The @115817 site has said Out For Delivery literally all day, and I’ve had someone at my residence waiting.  Wheres my #iPhoneX @TMobileHelp? | @427719 It's super exciting to have a phone coming on launch day. Send me a DM and we can discuss.  https://t.co/bZG3n7w6ik *AdrianAlbright"
I’m still wondering why @115911 @115913 were so shady on the pricing and process of the iPhone X on JOD..info was misrepresented | @383501 @115913 I want to make sure you're 100% clear on the pricing. I'm happy to help. Shoot a DM my way: https://t.co/c6ROkAqiws *HollyAdams
"@TMobileHelp how do I️ switch over my cellular data to my iPhone x? | @479861 Great question, Andrew! DM us so we can get your iPhone X up hooked up to your data plan! https://t.co/Qz0L1xpZB7 *MikePerez"
"@115913 @TMobileHelp And also your shipping box is too obvious for those thieves to target! That’s why my two iPhone Xs got stolen! https://t.co/ljT29QKqak | @479972 @115913 @115913 Thanks for the DM, I will reply shortly. *AshleyNelson"
@115913 @TMobileHelp My two iPhone Xs were stolen! This is very upsetting and a huge crime! I paid for the phones I should get! | @479972 @115913 You should absolutely receive your phones. Click https://t.co/Mww69Rzn7a to send me a DM so I can help. *AshleyNelson
@TMobileHelp Please can I get some support? Having difficulty with iPhone X pairing to LTE watch 3 | @229276 I got your back! 💪😎💪   Meet me in the Dms https://t.co/sBIVWmm6X2 *EddieGough
"@115913 @TMobileHelp I ordered two iPhone Xs for my t-mobile upgrade. Got the package today, opened it, there were NO phones! | @479972 @115913 Phones are a necessity. Click https://t.co/Mww69Rzn7a to send me a DM so I can help. *AshleyNelson"
"Somebody stoled my new iPhone X... people are incredible. @115817 @115858 @115911 @TMobileHelp @UPSHelp https://t.co/eIRg7GMkgf | @480179 NOT OKAY, Edgardo! Send me a DM w/ all the details &amp; let's get this taken care of ASAP! *AlexKimbrell https://t.co/GefRnVHVqu"
@115913 and now I have to wait for an iPhoneX until December. Worst experience with @115911 after 6 years. | @471623 @115913 I am here to help and will get a DM reply to you shortly. *AshleyNelson
"Still can't believe my iPhone X order was cancelled without my consent @115911 🙄🙄🙄 | @480203 Let's take a closer look to see why that happened, Dells. Send us a DM. *RickK"
Need to hit @115714 in the morning and upgrade to my iPhone X 👌 | @480211 Hey! Good to hear that. Please remember we're still here in case you need any assistance. - VC
This is Ridiculous been waiting all day for my iPhone x to be delivered but hasn't yet @115817 @UPSHelp @sprintcare | @424327 We're anxious for you to get your new device too! Keep checking your tracking info!
"@sprintcare 8hrs since I've had my iPhone X, still haven't been able to use it since my identity can't be verified. Even though its right🤔 | @480212 This is very concerning to hear. Please send us a Direct Message, so that we can further assist you. - JA"
